Дата выдачи,Подразделение,Контракт,Sum of Первоначальная сумма займа,Sum of Ежемесячный платеж,Sum of Кол-во дней просрочки (фактическое),Кредитный продукт
2022-09-28 00:00:00,Тойота Центр Қостанай,12209220123,5107728,75142,10,Easy Flex ПВ 20%+/  Срок 12 мес
2022-09-26 00:00:00,Тойота Сити Астана,12209220388,13945996,316285,4,Easy Toyota/Lexus  ПВ 20-50%/ Срок 24 мес Удерж.
2023-06-22 00:00:00,Тойота Сити Астана,12209220420R04,8785378,30081,4,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2023-06-19 00:00:00,Тойота Центр Атырау,12210220120R01,32451300,672004,4,ПВ 20%+ / Срок 12-84 м / Без забот
2022-11-22 00:00:00,Тойота Центр Павлодар,12211220228,33344882,832536,9,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес Повтор.
2022-11-23 00:00:00,Hyundai Taraz,12211220707,7822800,224432,67,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-02-28 00:00:00,Тойота Центр Уральск,12212210657R06,15481785,1649165,2,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-12-23 00:00:00,Mycar Astana,12212220300,11299241,226674,7,Easy Flex ПВ 20%+/  Срок 12 мес
2022-12-23 00:00:00,Volkswagen Нур-Султан,12212220342,11367250,222320,10,Easy Flex ПВ 20%+/  Срок 12 мес/PS
2022-12-23 00:00:00,Тойота Центр Атырау,12212220417,6024375,156105,7,Easy / ПВ 20-65% / Срок 36м / АСП / 11_22
2019-01-25 00:00:00,Тойота Центр Өскемен,1230119021,10400400,259306,4,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-01-25 00:00:00,Тойота Центр Шымкент,12301220021,18696716,372526,4,ПВ 20%+ / Срок 18-84 м.
2023-01-24 00:00:00,Тойота Центр Шымкент,12301230087,20300000,523081,4,Easy / ПВ 20-65% / Срок 36м / 11_22
2023-01-24 00:00:00,Тойота Центр Актау,12301230277,38334283,973478,4,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / 11_22
2023-01-25 00:00:00,Тойота Центр Павлодар,12301230558,10933250,278014,3,Стандарт Повторный / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-08-16 00:00:00,Тойота Сити,12302220038R01,23370000,120242,4,ПВ 20-39.9% / Срок 12-84-НА
2022-02-28 00:00:00,Тойота Центр Жетісу,12302220251,7380000,199619,2,ПВ 20-39.9% / Срок 12-84 м / Без забот PS
2020-04-24 00:00:00,Тойота Центр Актау,12304200038,25467700,677315,4,Стандарт с КАСКО ПВ 40% + / Cрок 12-84 мес-БПД
2022-05-27 00:00:00,Тойота Центр Астана,12305220175,12808682,15998564,35,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2022-05-24 00:00:00,Тойота Центр Павлодар,12305220415,20783384,352510,7,Easy Prado/Corolla/CH-R/ES ПВ 20-39.9%/ Срок 24 мес
2022-05-25 00:00:00,Тойота Сити Астана,12305220464,3863830,4800402,38,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2020-06-24 00:00:00,Тойота Центр Шымкент,12306200267,14463200,326434,4,Comfort 24 КАСКО ПВ 40-65% Н/А
2022-06-30 00:00:00,Тойота Центр Астана,12306220141,13810642,17250052,1,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2022-09-01 00:00:00,Тойота Центр Шымкент,12307190061R12,9611873,22756,2,ПВ 20-39.9% / Срок 54-60 м.-БПД
2019-07-24 00:00:00,Тойота Центр Павлодар,12307190251,7702202,202796,4,Tested/Select ПВ 20-39.9% / Срок 54-60 м. - БУ
2021-07-29 00:00:00,Тойота Центр Астана,12307210018,11701236,275172,59,ПВ 20-39.9% / Срок 12-84-НА
2021-08-25 00:00:00,Тойота Сити,12308210041,12300000,362698,3,Tested/Select ПВ 20-39.9% / Срок 12-84 м. БУ/Анн
2022-08-26 00:00:00,Тойота Центр Қостанай,12308210207R01,4135443,68838,3,ПВ 40%+ / Срок 12-84 м. БПД
2021-09-24 00:00:00,Тойота Центр Кызылорда,12309210206,8757361,181963,4,Comfort 24 КАСКО ПВ 40-65% Н/А
2021-11-25 00:00:00,Тойота Центр Уральск,12309210503R01,19390096,754503,4,ПВ 10%+ /Срок 12-60 м. Даму
2022-09-26 00:00:00,Тойота Сити,12309220247,13001618,334342,4,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2018-10-23 00:00:00,Тойота Центр Актау,1231018008,11393360,284078,7,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-11-28 00:00:00,Тойота Центр Астана,12311220102,19453219,399968,2,Easy Flex ПВ 20%+/  Срок 12 мес/Без забот
2022-12-26 00:00:00,Тойота Сити,12312220010,21479120,477556,4,Easy Flex ПВ 20%+/ Срок 12 мес/ Без забот/PS
2022-12-26 00:00:00,Тойота Центр Павлодар,12312220168,22436810,450105,4,Easy Flex ПВ 20%+/ Срок 12 мес
2020-01-27 00:00:00,Тойота Центр Актау,12401200105,8127000,137502,3,Tested/Select ПВ 40%+ / Срок 12-84 м. БУ/Анн
2022-02-04 00:00:00,Тойота Центр Астана,12401220228,12300000,289079,87,ПВ 20-39.9% / Срок 12-84-НА
2022-01-26 00:00:00,Тойота Сити,12401220277,16247367,19699085,157,Отсрочка ПВ 20%+/Срок 12 м.
2023-01-31 00:00:00,Тойота Центр Есиль,12401230268,8579250,249219,63,Стандарт / ПВ 20%+ / Срок 12-84м / Без забот / АСП / 11_22
2023-01-25 00:00:00,Тойота Центр Актобе,12401230292,39674880,982300,4,Стандарт Повторный / ПВ 20%+ / Срок 12-84м / 11_22
2023-01-26 00:00:00,Тойота Центр Шымкент,12401230326,19762468,514602,32,Easy с КАСКО Повторный / ПВ 20-65% / Срок 36м / АСП / 11_22
2022-04-05 00:00:00,Тойота Центр Астана,12402210400R01,8212568,336378,56,ПВ 40%+ / Срок 12-84 м. БПД
2023-02-27 00:00:00,Тойота Сити Астана,12402230093,23729816,617916,3,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-06-20 00:00:00,Тойота Сити,12403220317R01,26650000,271853,2,Easy ПВ 20-39.9%/ Срок 36 мес
2023-03-27 00:00:00,Тойота Сити Астана,12403230175,10343480,250113,3,Easy с КАСКО / ПВ 20-65% / Срок 24м / АСП / 11_22
2021-04-27 00:00:00,Тойота Центр Шымкент,12404210143,12906815,295382,3,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2023-04-26 00:00:00,Тойота Сити,12404230042,17884000,409986,4,Отсрочка с платежами / ПВ 20%+ / Срок 60м / АСП / 11_22
2023-04-25 00:00:00,MyCar Уральск,12404230091,13800600,306836,4,Easy Flex / ПВ 20%+ / Срок 12м / PS / Без забот / АСП / 01_23
2021-05-25 00:00:00,Тойота Центр Шымкент,12405210134,6682500,178744,25,Tested/Select ПВ 40%+ / Срок 12-84 м. БУ/Анн
2022-05-30 00:00:00,Тойота Центр Астана,12405210159R01,5844903,182286,2,ПВ 20-39.9% / Срок 12-84
2022-05-25 00:00:00,Тойота Центр Павлодар,12405220091,18528720,499815,3,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2022-05-25 00:00:00,Тойота Центр Актау,12405220307,29540346,36720521,37,Отсрочка ПВ 20%+/Срок 12 м.
2023-05-26 00:00:00,Тойота Центр Есиль,12405230231,18215952,365430,4,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2021-04-26 00:00:00,Тойота Сити Астана,12406190178R01,14008164,330991,35,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-06-28 00:00:00,Тойота Центр Атырау,12406220108,25960369,571759,3,ПВ 20%+ / Срок 12-84 м. Без забот
2022-06-27 00:00:00,Тойота Центр Атырау,12406220199,7680666,231002,4,Стандарт с КАСКО ПВ 20%+ /12-84 м/ Без забот
2021-08-25 00:00:00,Тойота Центр Жетісу,12408210081,10284204,238778,3,Comfort 24 КАСКО ПВ 40-65% / Без забот
2018-09-25 00:00:00,Тойота Сити,1240918003,11140027,99149,4,ПВ 20-39.9% / Срок 54-60 м.-БПД
2018-09-26 00:00:00,Тойота Центр Шымкент,1240918005,11251671,200893,4,Comfrot 24 ПВ 40-65% БП
2021-09-27 00:00:00,Тойота Центр Караганда,12409210288,13994981,525360,46,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2022-11-25 00:00:00,Тойота Сити,12411220085,7845299,180243,4,Easy Flex ПВ 20%+/  Срок 12 мес/Без забот/PS
2019-12-26 00:00:00,Тойота Сити Астана,12412190113,13992650,266497,3,Comfrot 24 ПВ 40-65% БП
2020-06-16 00:00:00,Тойота Центр Актау,12412190196R01,15623712,371685,3,ТЦ Актау ПВ 20-39.9% / Срок 54-60 м.
2021-07-19 00:00:00,Тойота Центр Актау,12412190295R01,11717249,285363,3,ПВ 20-39.9% / Срок 54-60 м.-БПД
2020-12-28 00:00:00,Тойота Центр Алматы,12412200235,5300000,146858,2,ПВ 40%+ / Срок 12-84 мес БПД
2021-12-27 00:00:00,Тойота Центр Павлодар,12412210028,10637806,12910233,185,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-12-27 00:00:00,Тойота Центр Шымкент,12412210234,19893930,416640,3,Easy c КАСКО Toyota/Lexus ПВ 20-50%+/ Срок 36 мес
2022-12-27 00:00:00,Тойота Центр Алматы,12412220027,14222245,263175,4,Easy Flex ПВ 20%+/  Срок 12 мес/Без забот
2022-01-27 00:00:00,Тойота Сити,12501220052,20285249,457951,214,Easy с КАСКО ПВ 20-39.9%/ Срок 36 мес
2022-01-26 00:00:00,Тойота Центр Караганда,12501220102,11537615,13995507,156,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-01-26 00:00:00,Тойота Центр Павлодар,12501220193,14631137,17748051,156,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-01-26 00:00:00,Тойота Центр Павлодар,12501220300,5135433,6229449,156,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-01-27 00:00:00,Тойота Центр Алматы,12501220375,8196471,198875,32,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2023-01-26 00:00:00,Mycar Astana,12501230093,16043198,332571,95,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2023-01-27 00:00:00,Тойота Центр Караганда,12501230259,9158975,183739,4,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2019-02-26 00:00:00,Тойота Центр Шымкент,1250219005,4406174,115889,4,Tested/Select ПВ 20-39.9% / Срок 54-60 м. - БУ
2021-02-26 00:00:00,Тойота Сити Астана,12502210078,14600708,181561,4,Corolla/Camry/RAV4 ПВ 20-39.9% / 12-84 м
2022-02-28 00:00:00,Тойота Сити,12502220275,18066548,463232,459,Easy с КАСКО Toyota/Lexus  ПВ 20-50%/ Срок 24 мес Повтор.
2021-03-26 00:00:00,Тойота Центр Кызылорда,12503210200,13336848,361978,4,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2023-03-30 00:00:00,Тойота Центр Уральск,12503220050R01,22866674,2231260,3,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-03-27 00:00:00,Тойота Центр Алматы,12503220159R01,7461011,173466,64,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-03-28 00:00:00,Тойота Центр Жетісу,12503220290,42614292,1044297,2,Стандарт с КАСКО ПВ 40% + / Cрок 12-84 м/Без забот
2022-03-29 00:00:00,Mycar Raiymbek,12503220480,10417643,12949790,94,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-11-30 00:00:00,Тойота Центр Жетісу,12504210118R01,4470260,73394,3,ПВ 40%+ / Срок 12-84 м / Без забот-Н/А
2022-04-26 00:00:00,Тойота Центр Жетісу,12504220422,21302400,535481,308,Стандарт с КАСКО ПВ 20-39.9%+/12-84 м/Без забот-Н
2023-04-27 00:00:00,Тойота Сити Астана,12504230322,8147766,681018,4,Стандарт Corolla / ПВ 20%+ / Срок 12-84м / PS / 04_23
2021-05-27 00:00:00,Тойота Центр Қостанай,12505210299,13330120,366420,4,КАСКО ПВ 40-65%-БПД
2022-05-26 00:00:00,Тойота Сити Астана,12505220298,18630810,23146819,37,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-05-26 00:00:00,Mycar Raiymbek,12505220488,6490906,193189,3,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2023-05-26 00:00:00,Тойота Центр Актау,12505230370,10269885,885489,4,Стандарт Corolla / ПВ 20%+ / Срок 12-84м / 04_23
2021-06-25 00:00:00,Тойота Центр Шымкент,12506210066,13653099,312640,4,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2022-06-29 00:00:00,Тойота Сити,12506220073,11566854,11682355,2,Отсрочка Prado ПВ 50%+/Срок 12 м
2019-07-29 00:00:00,Тойота Сити,12507190275,13963106,154406,2,ПВ 40%+ / Срок 54-60 м.-БПД
2020-07-27 00:00:00,Тойота Центр Жетісу,12507200025,11096769,367281,276,ПВ 40%+ / Срок 60 м / Без забот-Повт-НА
2020-08-27 00:00:00,Тойота Сити Астана,12508200016,4760000,179759,2,Camry/Corolla ПВ 40% + / Срок 36 мес-БПД
2021-08-27 00:00:00,Тойота Центр Жетісу,12508210189,7615750,258870,3,КАСКО ПВ 30-39.9% / Без забот.
2021-08-26 00:00:00,Тойота Центр Шымкент,12508210221,10365408,293348,95,Стандарт с КАСКО ПВ 10-19.9% + / Cрок 12-84 мес
2022-08-27 00:00:00,Тойота Центр Актау,12508220550,9879545,254058,32,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2019-09-26 00:00:00,Тойота Центр Қостанай,12509190059,9481056,185369,122,Camry 06.16 ПВ 40-65%-БПД
2018-10-29 00:00:00,Тойота Сити Астана,1251018008,6559100,103062,1,Comfrot 24 ПВ 40-65% БП
2022-11-11 00:00:00,Тойота Центр Шымкент,12510210227R01,8432951,340442,95,ПВ 20-39.9% / Срок 12-84
2021-10-28 00:00:00,Тойота Центр Атырау,12510210706,20361600,583335,1,ПВ 20-39.9% / Срок 12-84 / Без забот - Повторные
2023-06-12 00:00:00,Тойота Центр Шымкент,12510220051R01,13884696,413254,2,Easy c КАСКО ПВ 20-39.9%+/ Срок 36 мес Повтор.
2023-04-28 00:00:00,Тойота Центр Астана,12510220085R02,11983275,332404,1,ПВ 20-39.9% / Срок 12-84 м / Без забот-БПД
2019-11-26 00:00:00,Тойота Сити Астана,12511190055,8512920,168286,4,Comfort 24 ПВ 30-39.9%
2021-11-30 00:00:00,Тойота Сити,12511210259,21726720,26150629,212,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-11-28 00:00:00,Тойота Сити,12511220308,19483052,400581,2,Easy Flex ПВ 20%+/  Срок 12 мес/Без забот
2022-11-29 00:00:00,Lexus Astana,12511220324,7461744,149690,1,Easy Flex ПВ 20%+/  Срок 12 мес
2018-12-26 00:00:00,Тойота Центр Шымкент,1251218013,11527341,121515,2,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-02-28 00:00:00,Тойота Центр Кызылорда,12602220043,24091425,639951,63,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2023-02-28 00:00:00,Тойота Центр Шымкент,12602230042,13836556,329965,2,Стандарт Удержанный / ПВ 20%+ / Срок 12-84м / Без забот / 11_22
